serial,start_sample,end_sample
32949765,72151890,72152121
32949766,72153399,72153630
32949767,72154909,72155140
32949768,72156418,72156649
32949769,72157928,72158159
32949770,72159438,72159669
32949771,72160947,72161178
32949772,72162456,72162687
32949773,72163965,72164196
32949774,72165475,72165706
32949775,72166984,72167215
32949776,72168494,72168725
32949777,72170003,72170234
32949778,72171513,72171744
32949779,72173022,72173253
32949780,72174532,72174763
32949781,72176041,72176272
32949782,72177550,72177781
32949783,72179060,72179291
32949784,72180569,72180800
32949785,72182079,72182310
32949786,72183589,72183820
32949787,72185097,72185328
32949788,72186606,72186837
32949789,72188116,72188347
32949790,72189625,72189856
32949791,72191135,72191366
32949792,72192644,72192875
32949793,72194153,72194384
32949794,72195663,72195894
32949795,72197172,72197403
32949796,72198682,72198913
32949797,72200192,72200423
32949798,72201701,72201932
32949799,72203211,72203442
32949800,72204721,72204952
32949801,72206230,72206461
32949802,72207740,72207971
32949803,72209249,72209480
32949804,72210759,72210990
32949805,72212268,72212499
32949806,72213778,72214009
32949807,72215287,72215518
32949808,72216797,72217028
32949809,72218306,72218537
32949810,72219817,72220048
32949811,72221326,72221557
32949812,72222835,72223066
32949813,72224345,72224576
32949814,72225855,72226086
32949815,72227364,72227595
32949816,72228874,72229105
32949817,72230383,72230614
32949818,72231893,72232124
32949819,72233403,72233634
32949820,72234912,72235143
32949821,72236422,72236653
32949822,72237931,72238162
32949823,72239441,72239672
32949824,72240951,72241182
32949825,72242460,72242691
32949826,72243969,72244200
32949827,72245479,72245710
32949828,72246988,72247219
32949829,72248497,72248728
32949830,72250005,72250236
32949831,72251515,72251746
32949832,72253025,72253256
32949833,72254534,72254765
32949834,72256043,72256274
32949835,72257553,72257784
32949836,72259062,72259293
32949837,72260572,72260803
32949838,72262080,72262311
32949839,72263590,72263821
32949840,72265100,72265331
32949841,72266609,72266840
32949842,72268118,72268349
32949843,72269628,72269859
32949844,72271138,72271369
32949845,72272647,72272878
32949846,72274157,72274388
32949847,72275666,72275897
32949848,72277175,72277406
32949849,72278685,72278916
32949850,72280195,72280426
32949851,72281704,72281935
32949852,72283214,72283445
32949853,72284723,72284954
32949854,72286233,72286464
32949855,72287742,72287973
32949856,72289251,72289482
32949857,72290761,72290992
32949858,72292270,72292501
32949859,72293780,72294011
32949860,72295290,72295521
32949861,72296799,72297030
32949862,72298309,72298540
32949863,72299818,72300049
32949864,72301327,72301558
32949865,72302837,72303068
32949866,72304346,72304577
32949867,72305856,72306087
32949868,72307366,72307597
32949869,72308875,72309106
32949870,72310385,72310616
32949871,72311894,72312125
32949872,72313404,72313635
32949873,72314913,72315144
32949874,72316423,72316654
32949875,72317932,72318163
32949876,72319441,72319672
32949877,72320950,72321181
32949878,72322459,72322690
32949879,72323968,72324199
32949880,72325477,72325708
32949881,72326988,72327219
32949882,72328497,72328728
32949883,72330007,72330238
32949884,72331516,72331747
32949885,72333026,72333257
32949886,72334535,72334766
32949887,72336045,72336276
32949888,72337554,72337785
32949889,72339064,72339295
32949890,72340574,72340805
32949891,72342083,72342314
32949892,72343593,72343824
32949893,72345103,72345334
32949894,72346612,72346843
32949895,72348122,72348353
32949896,72349631,72349862
32949897,72351140,72351371
32949898,72352650,72352881
32949899,72354160,72354391
32949900,72355670,72355901
32949901,72357179,72357410
32949902,72358688,72358919
32949903,72360198,72360429
32949904,72361707,72361938
32949905,72363217,72363448
32949906,72364727,72364958
32949907,72366236,72366467
32949908,72367746,72367977
32949909,72369256,72369487
32949910,72370765,72370996
32949911,72372275,72372506
32949912,72373784,72374015
32949913,72375293,72375524
32949914,72376803,72377034
32949915,72378312,72378543
32949916,72379821,72380052
32949917,72381331,72381562
32949918,72382841,72383072
32949919,72384351,72384582
32949920,72385860,72386091
32949921,72387369,72387600
32949922,72388879,72389110
32949923,72390388,72390619
32949924,72391898,72392129
32949925,72393408,72393639
32949926,72394917,72395148
32949927,72396427,72396658
32949928,72397937,72398168
32949929,72399446,72399677
32949930,72400956,72401187
32949931,72402465,72402696
32949932,72403975,72404206
32949933,72405484,72405715
32949934,72406994,72407225
32949935,72408503,72408734
32949936,72410013,72410244
32949937,72411522,72411753
32949938,72413032,72413263
32949939,72414541,72414772
32949940,72416050,72416281
32949941,72417560,72417791
32949942,72419069,72419300
32949943,72420579,72420810
32949944,72422089,72422320
32949945,72423598,72423829
32949946,72425108,72425339
32949947,72426618,72426849
32949948,72428127,72428358
32949949,72429637,72429868
32949950,72431146,72431377
32949951,72432656,72432887
32949952,72434165,72434396
32949953,72435675,72435906
32949954,72437184,72437415
32949955,72438694,72438925
32949956,72440203,72440434
32949957,72441713,72441944
32949958,72443222,72443453
32949959,72444732,72444963
32949960,72446242,72446473
32949961,72447751,72447982
32949962,72449260,72449491
32949963,72450770,72451001
32949964,72452279,72452510
32949965,72453789,72454020
32949966,72455299,72455530
32949967,72456809,72457040
32949968,72458318,72458549
32949969,72459828,72460059
32949970,72461337,72461568
32949971,72462847,72463078
32949972,72464356,72464587
32949973,72465866,72466097
32949974,72467375,72467606
32949975,72468885,72469116
32949976,72470395,72470626
32949977,72471904,72472135
32949978,72473413,72473644
32949979,72474923,72475154
32949980,72476433,72476664
32949981,72477942,72478173
32949982,72479452,72479683
32949983,72480961,72481192
32949984,72482471,72482702
32949985,72483981,72484212
32949986,72485490,72485721
32949987,72487000,72487231
32949988,72488509,72488740
32949989,72490018,72490249
32949990,72491528,72491759
32950048,72495194,72495425
32950052,72496704,72496935
32950053,72498214,72498445
32950054,72499723,72499954
32950055,72501233,72501464
32950056,72502742,72502973
32950057,72504251,72504482
32950058,72505761,72505992
32950059,72507271,72507502
32950060,72508779,72509010
32950061,72510289,72510520
32950062,72511799,72512030
32950063,72513309,72513540
32950064,72514818,72515049
32950065,72516328,72516559
32950066,72517837,72518068
32950067,72519347,72519578
32950068,72520856,72521087
32950069,72522366,72522597
32950070,72523875,72524106
32950071,72525385,72525616
32950072,72526895,72527126
32950073,72528404,72528635
32950074,72529914,72530145
32950075,72531424,72531655
32950076,72532933,72533164
32950077,72534443,72534674
32950078,72535952,72536183
32950079,72537461,72537692
32950080,72538971,72539202
32950081,72540481,72540712
32950082,72541991,72542222
32950083,72543500,72543731
32950084,72545009,72545240
32950085,72546519,72546750
32950086,72548028,72548259
32950087,72549537,72549768
32950088,72551047,72551278
32950089,72552556,72552787
32950090,72554066,72554297
32950091,72555576,72555807
32950092,72557085,72557316
32950093,72558595,72558826
32950094,72560104,72560335
32950095,72561613,72561844
32950096,72563123,72563354
32950097,72564632,72564863
32950098,72566141,72566372
32950099,72567651,72567882
32950100,72569161,72569392
32950101,72570670,72570901
32950102,72572180,72572411
32950103,72573689,72573920
32950104,72575199,72575430
32950105,72576708,72576939
32950106,72578217,72578448
32950107,72579727,72579958
32950108,72581236,72581467
32950109,72582745,72582976
32950110,72584254,72584485
32950111,72585763,72585994
32950112,72587273,72587504
32950113,72588782,72589013
32950114,72590291,72590522
32950115,72591801,72592032
32950116,72593310,72593541
32950117,72594819,72595050
32950118,72596329,72596560
32950119,72597839,72598070
32950120,72599348,72599579
32950121,72600857,72601088
32950122,72602366,72602597
32950123,72603876,72604107
32950124,72605385,72605616
32950125,72606895,72607126
32950126,72608404,72608635
32950127,72609914,72610145
32950128,72611423,72611654
32950129,72612933,72613164
32950130,72614442,72614673
32950131,72615952,72616183
32950132,72617462,72617693
32950133,72618971,72619202
32950134,72620481,72620712
32950135,72621991,72622222
32950136,72623500,72623731
32950137,72625010,72625241
32950138,72626519,72626750
32950139,72628028,72628259
32950140,72629538,72629769
32950141,72631048,72631279
32950142,72632558,72632789
32950143,72634067,72634298
32950144,72635576,72635807
32950145,72637086,72637317
32950146,72638595,72638826
32950147,72640105,72640336
32950148,72641615,72641846
32950149,72643124,72643355
