serial,start_sample,end_sample
32897223,1515340,1515571
32897224,1516849,1517080
32897225,1518358,1518589
32897226,1519868,1520099
32897227,1521377,1521608
32897228,1522887,1523118
32897229,1524396,1524627
32897230,1525906,1526137
32897231,1527415,1527646
32897232,1528924,1529155
32897233,1530433,1530664
32897234,1531943,1532174
32897235,1533452,1533683
32897236,1534961,1535192
32897237,1536471,1536702
32897238,1537980,1538211
32897239,1539489,1539720
32897240,1540999,1541230
32897241,1542508,1542739
32897242,1544018,1544249
32897243,1545526,1545757
32897244,1547036,1547267
32897245,1548544,1548775
32897246,1550054,1550285
32897247,1551564,1551795
32897248,1553072,1553303
32897249,1554582,1554813
32897250,1556091,1556322
32897251,1557601,1557832
32897252,1559110,1559341
32897253,1560619,1560850
32897254,1562128,1562359
32897255,1563637,1563868
32897256,1565147,1565378
32897257,1566657,1566888
32897258,1568166,1568397
32897259,1569675,1569906
32897260,1571184,1571415
32897261,1572694,1572925
32897262,1574203,1574434
32897263,1575713,1575944
32897264,1577222,1577453
32897265,1578732,1578963
32897266,1580241,1580472
32897267,1581751,1581982
32897268,1583260,1583491
32897269,1584770,1585001
32897270,1586278,1586509
32897271,1587788,1588019
32897272,1589297,1589528
32897273,1590807,1591038
32897274,1592316,1592547
32897275,1593825,1594056
32897276,1595335,1595566
32897277,1596844,1597075
32897278,1598353,1598584
32897279,1599862,1600093
32897280,1601372,1601603
32897281,1602882,1603113
32897282,1604391,1604622
32897283,1605900,1606131
32897284,1607410,1607641
32897285,1608919,1609150
32897286,1610429,1610660
32897287,1611938,1612169
32897288,1613447,1613678
32897289,1614957,1615188
32897290,1616466,1616697
32897291,1617976,1618207
32897292,1619485,1619716
32897293,1620995,1621226
32897294,1622504,1622735
32897295,1624014,1624245
32897296,1625523,1625754
32897297,1627032,1627263
32897298,1628542,1628773
32897299,1630051,1630282
32897300,1631560,1631791
32897301,1633070,1633301
32897302,1634579,1634810
32897303,1636089,1636320
32897304,1637598,1637829
32897305,1639107,1639338
32897306,1640617,1640848
32897307,1642126,1642357
32897308,1643636,1643867
32897309,1645146,1645377
32897310,1646655,1646886
32897311,1648164,1648395
32897312,1649673,1649904
32897313,1651182,1651413
32897314,1652692,1652923
32897315,1654201,1654432
32897316,1655711,1655942
32897317,1657221,1657452
32897318,1658730,1658961
32897319,1660240,1660471
32897320,1661749,1661980
32897321,1663258,1663489
32897322,1664768,1664999
32897323,1666277,1666508
32897324,1667787,1668018
32897325,1669295,1669526
32897326,1670805,1671036
32897327,1672314,1672545
32897328,1673824,1674055
32897329,1675333,1675564
32897330,1676843,1677074
32897331,1678352,1678583
32897332,1679861,1680092
32897333,1681371,1681602
32897334,1682881,1683112
32897335,1684390,1684621
32897336,1685899,1686130
32897337,1687408,1687639
32897338,1688918,1689149
32897339,1690428,1690659
32897340,1691937,1692168
32897341,1693447,1693678
32897342,1694956,1695187
32897343,1696465,1696696
32897344,1697975,1698206
32897345,1699484,1699715
32897346,1700994,1701225
32897347,1702504,1702735
32897348,1704013,1704244
32897349,1705523,1705754
32897350,1707032,1707263
32897351,1708541,1708772
32897352,1710051,1710282
32897352,1711561,1711792
17179869184,1712867,1713098
34359738367,1713967,1714198
32897414,1715223,1715454
32897415,1716733,1716964
32897416,1718242,1718473
32897417,1719752,1719983
32897418,1721262,1721493
32897419,1722771,1723002
32897420,1724281,1724512
32897421,1725790,1726021
32897422,1727299,1727530
32897423,1728809,1729040
32897424,1730318,1730549
32897425,1731828,1732059
32897426,1733338,1733569
32897427,1734847,1735078
32897428,1736357,1736588
32897429,1737866,1738097
32897430,1739375,1739606
32897431,1740885,1741116
32897432,1742394,1742625
32897433,1743904,1744135
32897434,1745414,1745645
32897435,1746923,1747154
32897436,1748433,1748664
32897437,1749942,1750173
32897438,1751451,1751682
32897439,1752961,1753192
32897440,1754470,1754701
32897441,1755979,1756210
32897442,1757489,1757720
32897443,1758998,1759229
32897444,1760508,1760739
32897445,1762017,1762248
32897446,1763527,1763758
32897447,1765035,1765266
32897448,1766544,1766775
32897449,1768053,1768284
32897450,1769563,1769794
32897451,1771073,1771304
32897452,1772582,1772813
32897453,1774092,1774323
32897454,1775601,1775832
32897455,1777110,1777341
32897456,1778620,1778851
32897457,1780129,1780360
32897458,1781638,1781869
32897459,1783148,1783379
