TimeStamps,chunk_serial,UTCTimeStamp
14102946,111090383,2025-10-01 19:10:00.218200
14103947,111090384,2025-10-01 19:10:00.251567
14104948,111090385,2025-10-01 19:10:00.284933
14105950,111090386,2025-10-01 19:10:00.318333
14106951,111090387,2025-10-01 19:10:00.351700
14107953,111090388,2025-10-01 19:10:00.385100
14108954,111090389,2025-10-01 19:10:00.418467
14109955,111090390,2025-10-01 19:10:00.451833
14110956,111090391,2025-10-01 19:10:00.485200
14111958,111090392,2025-10-01 19:10:00.518600
14112959,111090393,2025-10-01 19:10:00.551967
14113960,111090394,2025-10-01 19:10:00.585333
14114962,111090395,2025-10-01 19:10:00.618733
14115963,111090396,2025-10-01 19:10:00.652100
14116964,111090397,2025-10-01 19:10:00.685467
14117965,111090398,2025-10-01 19:10:00.718833
14118967,111090399,2025-10-01 19:10:00.752233
14119968,111090400,2025-10-01 19:10:00.785600
14120969,111090401,2025-10-01 19:10:00.818967
14121971,111090402,2025-10-01 19:10:00.852367
14122972,111090403,2025-10-01 19:10:00.885733
14123974,111090404,2025-10-01 19:10:00.919133
14124975,111090405,2025-10-01 19:10:00.952500
14125976,111090406,2025-10-01 19:10:00.985884
14126978,111090407,2025-10-01 19:10:01.019267
14127979,111090408,2025-10-01 19:10:01.052633
14128980,111090409,2025-10-01 19:10:01.086000
14129982,111090410,2025-10-01 19:10:01.119400
14130983,111090411,2025-10-01 19:10:01.152767
14131984,111090412,2025-10-01 19:10:01.186133
14132986,111090413,2025-10-01 19:10:01.219533
14133987,111090414,2025-10-01 19:10:01.252900
14134989,111090415,2025-10-01 19:10:01.286300
14135990,111090416,2025-10-01 19:10:01.319667
14136991,111090417,2025-10-01 19:10:01.353033
14137993,111090418,2025-10-01 19:10:01.386433
14138994,111090419,2025-10-01 19:10:01.419800
14139996,111090420,2025-10-01 19:10:01.453200
14140997,111090421,2025-10-01 19:10:01.486567
14141998,111090422,2025-10-01 19:10:01.519933
14142999,111090423,2025-10-01 19:10:01.553300
14144001,111090424,2025-10-01 19:10:01.586700
14145002,111090425,2025-10-01 19:10:01.620067
14146003,111090426,2025-10-01 19:10:01.653433
14147005,111090427,2025-10-01 19:10:01.686833
14148006,111090428,2025-10-01 19:10:01.720200
14149008,111090429,2025-10-01 19:10:01.753600
14150009,111090430,2025-10-01 19:10:01.786967
14151010,111090431,2025-10-01 19:10:01.820333
14152011,111090432,2025-10-01 19:10:01.853717
14153013,111090433,2025-10-01 19:10:01.887100
14154014,111090434,2025-10-01 19:10:01.920467
14155015,111090435,2025-10-01 19:10:01.953833
14156017,111090436,2025-10-01 19:10:01.987233
14157018,111090437,2025-10-01 19:10:02.020600
14158019,111090438,2025-10-01 19:10:02.053967
14159020,111090439,2025-10-01 19:10:02.087333
14160022,111090440,2025-10-01 19:10:02.120733
14161023,111090441,2025-10-01 19:10:02.154100
14162025,111090442,2025-10-01 19:10:02.187500
14163027,111090443,2025-10-01 19:10:02.220900
14164028,111090444,2025-10-01 19:10:02.254267
14165029,111090445,2025-10-01 19:10:02.287633
14166030,111090446,2025-10-01 19:10:02.321000
14167032,111090447,2025-10-01 19:10:02.354400
14168033,111090448,2025-10-01 19:10:02.387767
14169035,111090449,2025-10-01 19:10:02.421167
14170036,111090450,2025-10-01 19:10:02.454533
14171037,111090451,2025-10-01 19:10:02.487900
14172039,111090452,2025-10-01 19:10:02.521300
14173040,111090453,2025-10-01 19:10:02.554667
14174041,111090454,2025-10-01 19:10:02.588033
14175042,111090455,2025-10-01 19:10:02.621400
14176044,111090456,2025-10-01 19:10:02.654800
14177045,111090457,2025-10-01 19:10:02.688167
14178047,111090458,2025-10-01 19:10:02.721567
14179048,111090459,2025-10-01 19:10:02.754933
14180049,111090460,2025-10-01 19:10:02.788300
14181051,111090461,2025-10-01 19:10:02.821700
14182052,111090462,2025-10-01 19:10:02.855067
14183054,111090463,2025-10-01 19:10:02.888467
14184055,111090464,2025-10-01 19:10:02.921833
14185056,111090465,2025-10-01 19:10:02.955200
14186058,111090466,2025-10-01 19:10:02.988600
14187059,111090467,2025-10-01 19:10:03.021967
14188061,111090468,2025-10-01 19:10:03.055367
14189062,111090469,2025-10-01 19:10:03.088733
14190063,111090470,2025-10-01 19:10:03.122100
14191065,111090471,2025-10-01 19:10:03.155500
14192066,111090472,2025-10-01 19:10:03.188867
14193067,111090473,2025-10-01 19:10:03.222233
14194068,111090474,2025-10-01 19:10:03.255600
14195070,111090475,2025-10-01 19:10:03.289000
